Latitude,Longitude,ListingType,ListingPrice,FloorSize,TimeOnMarket
40.726032,-73.817967,Apartment for rent,"$1,800/mo",750,27 days ago
40.73936,-73.8577,Apartment for rent,"$2,300/mo",--,27 days ago
40.73936,-73.8577,Apartment for rent,"$2,400/mo",--,27 days ago
40.72727,-73.81458,Apartment for rent,"$1,800/mo",700,27 days ago
40.73077,-73.82618,House for rent,"$3,800/mo",--,27 days ago
40.737182,-73.860552,Apartment for rent,"$3,174/mo","1,280",28 days ago
40.736358,-73.861083,Apartment for rent,"$3,243/mo","1,280",28 days ago
40.735801,-73.860797,Apartment for rent,"$2,588/mo","1,073",28 days ago
40.737218,-73.86252,Apartment for rent,"$2,392/mo",871,28 days ago
40.730133,-73.825668,Co-op for rent,"$1,799/mo",--,28 days ago
40.725752,-73.814533,Apartment for rent,"$2,025/mo",800,29 days ago
40.726271,-73.818717,Apartment for rent,"$2,025/mo",900,29 days ago
40.727305,-73.81704,Apartment for rent,"$2,100/mo",900,29 days ago
40.726072,-73.817834,Apartment for rent,"$2,075/mo",900,29 days ago
40.719733,-73.81969,Apartment for rent,"$1,950/mo","45,750",29 days ago
40.725125,-73.816636,Apartment for rent,"$1,825/mo",600,29 days ago
40.726803,-73.814342,Apartment for rent,"$2,100/mo",900,29 days ago
40.727942,-73.814905,Apartment for rent,"$2,025/mo",800,29 days ago
40.727942,-73.814905,Apartment for rent,"$2,025/mo",800,29 days ago
40.730664,-73.824758,House for rent,"$3,500/mo","2,000",29 days ago
40.74341,-73.85996,Apartment for rent,"$1,600/mo",--,29 days ago
40.745407,-73.858839,Apartment for rent,"$3,800/mo",--,29 days ago
40.72459,-73.81841,Apartment for rent,"$1,800/mo",--,30 days ago
40.72641,-73.81102,Apartment for rent,"$2,025/mo",--,30 days ago
40.752984,-73.806171,Apartment for rent,"$2,300/mo",900,30 days ago
40.73768,-73.8623,Apartment for rent,"$2,254/mo",871,30 days ago
40.737712,-73.856491,Apartment for rent,"$2,500/mo",--,14 photos
40.727392,-73.819298,Apartment for rent,"$1,800/mo",--,31 days ago
40.739655,-73.854922,Apartment for rent,"$1,600/mo",750,31 days ago
40.739642,-73.795802,Apartment for rent,"$2,599/mo","1,300",31 days ago
40.74812,-73.790472,Condo for rent,"$2,200/mo",--,31 days ago
40.726368,-73.812473,Apartment for rent,"$1,800/mo",755,31 days ago
40.725748,-73.811573,Apartment for rent,"$2,100/mo",850,31 days ago
40.73028,-73.84823,Apartment for rent,"$2,050/mo",--,31 days ago
40.725146,-73.815886,Apartment for rent,"$1,800/mo",--,32 days ago
40.726561,-73.792995,House for rent,"$3,800/mo","1,332",32 days ago
40.72686,-73.8605,Apartment for rent,"$2,484/mo",900,32 days ago
40.728497,-73.8079,Apartment for rent,"$2,150/mo","1,100",32 days ago
40.73987,-73.82096,Apartment for rent,"$2,200/mo",--,32 days ago
40.75073,-73.823241,Apartment for rent,"$1,850/mo",750,32 days ago
40.73882,-73.82007,Apartment for rent,"$4,000/mo","1,500",32 days ago
40.72198,-73.854893,Apartment for rent,"$2,400/mo","1,000",32 days ago
40.73162,-73.85147,Apartment for rent,"$1,800/mo",825,33 days ago
40.724629,-73.802442,Townhouse for rent,"$2,800/mo",--,33 days ago
40.73882,-73.82007,Apartment for rent,"$2,000/mo","1,000",33 days ago
40.72589,-73.815152,Apartment for rent,"$1,800/mo",--,33 days ago
40.72231,-73.83897,Apartment for rent,"$1,650/mo",450,33 days ago
40.732354,-73.824048,House for rent,"$2,650/mo","2,300",34 days ago
40.731329,-73.825098,House for rent,"$3,300/mo","1,512",35 days ago
40.72319,-73.80216,Apartment for rent,"$2,800/mo",--,35 days ago
40.74462,-73.831256,Apartment for rent,"$2,500/mo","1,100",35 days ago
40.72765,-73.79663,House for rent,"$1,600/mo",--,35 days ago
40.750709,-73.823211,Apartment for rent,"$2,322/mo",--,36 days ago
40.750368,-73.861646,Apartment for rent,"$3,500/mo","3,055",36 days ago
40.73716,-73.86405,Apartment for rent,"$2,280/mo",867,36 days ago
40.729438,-73.85493,Apartment for rent,"$1,707/mo",--,36 days ago
40.734816,-73.857899,Apartment for rent,"$1,892/mo",600,36 days ago
40.751673,-73.810171,Apartment for rent,"$2,150/mo","1,890",37 days ago
40.726155,-73.803134,Apartment for rent,"$2,500/mo","1,400",37 days ago
40.739168,-73.820228,Condo for rent,"$2,000/mo",--,37 days ago
40.752975,-73.807551,Condo for rent,"$2,400/mo",--,37 days ago
40.73716,-73.86405,Apartment for rent,"$2,294/mo",--,37 days ago
40.73716,-73.86405,Apartment for rent,"$2,302/mo",--,37 days ago
40.72726,-73.81978,Apartment for rent,"$1,800/mo",--,38 days ago
40.75237,-73.80681,Apartment for rent,"$3,300/mo","1,600",38 days ago
40.737827,-73.809157,Apartment for rent,"$2,300/mo",900,38 days ago
40.725905,-73.816612,Apartment for rent,"$2,135/mo","1,000",38 days ago
40.725935,-73.816511,Apartment for rent,"$2,075/mo",--,38 days ago
40.727649,-73.818009,House for rent,"$2,000/mo",900,38 days ago
40.741921,-73.861539,Apartment for rent,"$1,700/mo",--,38 days ago
40.72062,-73.81376,Apartment for rent,"$1,500/mo",--,39 days ago
40.72529,-73.81358,Apartment for rent,"$1,800/mo",725,39 days ago
40.725723,-73.813975,Apartment for rent,"$2,075/mo",--,39 days ago
40.725658,-73.810094,Apartment for rent,"$1,750/mo",600,39 days ago
40.73175,-73.85358,Apartment for rent,"$2,500/mo","114,600",40 days ago
40.736881,-73.811166,House for rent,"$2,600/mo",--,40 days ago
40.731311,-73.825158,House for rent,"$3,399/mo","1,296",41 days ago
40.720583,-73.799489,Condo for rent,"$1,200/mo",200,41 days ago
40.72945,-73.819386,Apartment for rent,"$2,100/mo","1,000",41 days ago
40.72173,-73.82595,Apartment for rent,"$4,500/mo",--,43 days ago
40.742631,-73.822634,House for rent,"$2,700/mo","1,100",43 days ago
40.7218,-73.810162,Townhouse for rent,"$3,500/mo","1,980",44 days ago
40.740868,-73.790001,House for rent,"$3,050/mo","1,580",45 days ago
40.7209,-73.82344,Apartment for rent,"$1,800/mo",650,45 days ago
40.74473,-73.82741,Apartment for rent,"$3,500/mo","1,431",45 days ago
40.7526,-73.82929,Apartment for rent,"$1,575/mo",750,46 days ago
40.7298,-73.80237,Apartment for rent,"$2,600/mo",--,46 days ago
40.728271,-73.807167,House for rent,"$2,600/mo",980,46 days ago
40.72146,-73.84397,Apartment for rent,"$2,800/mo",900,47 days ago
40.730983,-73.801399,Apartment for rent,"$2,600/mo",--,47 days ago
40.73044,-73.80618,Apartment for rent,"$2,350/mo","1,100",47 days ago
40.74017,-73.827886,Apartment for rent,"$2,500/mo",950,47 days ago
40.723252,-73.81205,Apartment for rent,"$2,400/mo",--,47 days ago
40.747534,-73.856619,House for rent,"$2,400/mo","1,576",49 days ago
40.725748,-73.811546,Apartment for rent,"$2,000/mo",--,49 days ago
